观测序号_Nobs,代码_Code,证券名称_Secunm,行情日期_Qdate,标准时间_StdTime,最高价(元)_Hipr,最低价(元)_Lopr,成交价(元)_TPrice,...9
278721,600519,贵州茅台,2017-01-04,09:55:00,338.97,334.6,338.5,NA
278722,600519,贵州茅台,2017-01-04,10:00:00,339.7,334.6,339.5,NA
278723,600519,贵州茅台,2017-01-04,10:05:00,339.7,334.6,338.76,NA
278724,600519,贵州茅台,2017-01-04,10:10:00,339.7,334.6,339,NA
278725,600519,贵州茅台,2017-01-04,10:15:00,339.7,334.6,339.1,NA
278726,600519,贵州茅台,2017-01-04,10:20:00,339.7,334.6,338.95,NA
278727,600519,贵州茅台,2017-01-04,10:25:00,339.7,334.6,339.38,NA
278728,600519,贵州茅台,2017-01-04,10:30:00,339.7,334.6,339.7,NA
278729,600519,贵州茅台,2017-01-04,10:35:00,341,334.6,340.6,NA
278730,600519,贵州茅台,2017-01-04,10:40:00,341,334.6,340.01,NA
278731,600519,贵州茅台,2017-01-04,10:45:00,341,334.6,339.99,NA
278732,600519,贵州茅台,2017-01-04,10:50:00,341,334.6,340.01,NA
278733,600519,贵州茅台,2017-01-04,10:55:00,341,334.6,340.6,NA
278734,600519,贵州茅台,2017-01-04,11:00:00,341,334.6,340.85,NA
278735,600519,贵州茅台,2017-01-04,11:05:00,341,334.6,340.67,NA
278736,600519,贵州茅台,2017-01-04,11:10:00,341.98,334.6,341.9,NA
278737,600519,贵州茅台,2017-01-04,11:15:00,343.8,334.6,343.44,NA
278738,600519,贵州茅台,2017-01-04,11:20:00,345.38,334.6,345.08,NA
278739,600519,贵州茅台,2017-01-04,11:25:00,345.38,334.6,344.8,NA
278740,600519,贵州茅台,2017-01-04,11:30:00,345.38,334.6,344.96,NA
278741,600519,贵州茅台,2017-01-04,11:35:00,345.38,334.6,344.96,NA
278742,600519,贵州茅台,2017-01-04,13:05:00,346.08,334.6,346.08,NA
278743,600519,贵州茅台,2017-01-04,13:10:00,346.13,334.6,345.3,NA
278744,600519,贵州茅台,2017-01-04,13:15:00,346.13,334.6,345.42,NA
278745,600519,贵州茅台,2017-01-04,13:20:00,346.13,334.6,344.69,NA
