观测序号_Nobs,代码_Code,证券名称_Secunm,行情日期_Qdate,标准时间_StdTime,最高价(元)_Hipr,最低价(元)_Lopr,成交价(元)_TPrice,...9
267441,600028,中国石化,2019-02-28,13:00:00,6.06,6,6.02,NA
267442,600028,中国石化,2019-02-28,13:05:00,6.06,6,6.02,NA
267443,600028,中国石化,2019-02-28,13:10:00,6.06,6,6.03,NA
267444,600028,中国石化,2019-02-28,13:15:00,6.06,6,6.03,NA
267445,600028,中国石化,2019-02-28,13:20:00,6.06,6,6.03,NA
267446,600028,中国石化,2019-02-28,13:25:00,6.06,6,6.03,NA
267447,600028,中国石化,2019-02-28,13:30:00,6.06,6,6.03,NA
267448,600028,中国石化,2019-02-28,13:35:00,6.06,6,6.03,NA
267449,600028,中国石化,2019-02-28,13:40:00,6.06,6,6.03,NA
267450,600028,中国石化,2019-02-28,13:45:00,6.06,6,6.02,NA
267451,600028,中国石化,2019-02-28,13:50:00,6.06,6,6.02,NA
267452,600028,中国石化,2019-02-28,13:55:00,6.06,6,6.02,NA
267453,600028,中国石化,2019-02-28,14:00:00,6.06,6,6.01,NA
267454,600028,中国石化,2019-02-28,14:05:00,6.06,6,6.01,NA
267455,600028,中国石化,2019-02-28,14:10:00,6.06,6,6.01,NA
267456,600028,中国石化,2019-02-28,14:15:00,6.06,6,6.01,NA
267457,600028,中国石化,2019-02-28,14:20:00,6.06,6,6.01,NA
266033,600028,中国石化,2019-01-15,11:30:00,5.37,5.3,5.33,NA
266034,600028,中国石化,2019-01-15,11:35:00,5.37,5.3,5.33,NA
266035,600028,中国石化,2019-01-15,13:00:00,5.37,5.3,5.33,NA
266036,600028,中国石化,2019-01-15,13:05:00,5.37,5.3,5.34,NA
266037,600028,中国石化,2019-01-15,13:10:00,5.37,5.3,5.33,NA
266038,600028,中国石化,2019-01-15,13:15:00,5.37,5.3,5.32,NA
266039,600028,中国石化,2019-01-15,13:20:00,5.37,5.3,5.32,NA
266040,600028,中国石化,2019-01-15,13:25:00,5.37,5.3,5.33,NA
266041,600028,中国石化,2019-01-15,13:30:00,5.37,5.3,5.32,NA
